"","X","X_id","标题","标题链接","居室数","厅堂数","卫生间数","总面积","朝向","楼层位置","建造年份","小区","区","街道","地址","关键词","价格","单价","关键字1","关键字2","关键字3","关键字4","装修","字段12","详情1","详情2","详情3","详情4","详情5","产权性质","物业类型","产权年限","房本年限","参考预算","小区均价","小区户数","物业费用","绿化率","小区解读1","小区解读2","小区解读3","小区解读4","小区解读5","小区解读6","代理情况","代理情况2","安选"
"11","10","666d2139dacf8deaac14126f","陆家嘴一线江景公寓大平层带露台 精装修高区带车位 拎包入住","https://shanghai.anjuke.com/prop/view/S3574949033534468",3,2,3,"277㎡","南北","中层(共25层)","2010年建造","凯旋汇","浦东","八佰伴","张杨路98号","南北;满五年;近地铁;车位充足",500,"18051元/㎡","南北","满五年","近地铁","车位充足","精装修","2010年竣工/公寓
            ","满五年","有电梯","近地铁","车位充足","","商住两用","公寓","50年产权","满五年","首付250万，月供24721元","91494元/㎡","234户","暂无","35.00%","轨道交通   小区出门步行800米有地铁9号线和2号线","小区户型   小区67㎡一房，和107-127㎡两房，高层总高26楼，单栋，前后楼间距大","其他描述   小区物业是启胜物业，物业费28元，包含3张会所会员卡，有大堂礼宾和管家，服务周到","小区设施   小区内有6000平方会所，设施完善，有儿童娱乐设施，健身器材，图书馆等","生活配套   小区出门步行0.5km到达老佛爷购物商场、盒马鲜生，2公里到达仁济医院东院","小区不足   小区车位紧张，有时无法满足多台车的需求","2家门店、6位经纪人正代理本房","全部经纪人","实地核验"
"12","11","666d2139dacf8deaac141270","拎包入住大两房！中房金谊广场500米！小区环境优美 随时看房","https://shanghai.anjuke.com/prop/view/S3185735029775374",2,2,1,"83.39㎡","南北","低层(共18层)","2006年建造","永泰花苑","浦东","三林","永泰路630弄","南北;满五年;近地铁;绿化率高",508,"60919元/㎡","南北","满五年","近地铁","绿化率高","精装修","2006年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","绿化率高","商品房住宅","普通住宅","70年产权","满五年","首付101万，月供18249元","61055元/㎡","3377户","1.1 元/平米/月","46.00%","轨道交通   小区门口就是公交车站，小区向北900米事11号线三林东站，可以转地铁6号，8号线","其他描述   小区到地铁11号线三林站200米门口有755路780路572路","小区设施   小区有花园，凉亭，花园900平左右，花园里设有运动器械，可供老人小孩玩耍","生活配套   出门三百米就是金谊广场，800米东方医院","房屋品质   由中房置业有限公司建造，05年统一交房，近马路一排装有双层玻璃，能有效的隔绝噪音","小区不足   动迁小区，租客较多，物业一般","30家门店、74位经纪人正代理本房","全部经纪人","实地核验"
"13","12","666d213adacf8deaac141271","可看样板房！一手新房住宅新房零佣 随时看房 车接送","https://shanghai.anjuke.com/prop/view/S3362146821774342",3,2,2,"96㎡","南","","","中企云启春申","闵行","七莘路","秀涟路77弄","客餐厅相连;主卧套房;私密性好;多轨交",760,"79167元/㎡","客餐厅相连","主卧套房","私密性好","多轨交","精装修","暂无建造年代/普通住宅
            ","","","","","","暂无","普通住宅","70年产权","","首付152万，月供27302元","79162元/㎡","暂无","暂无","35.00%","","","","","","","查看全部经纪人","全部经纪人","认证新房"
"14","13","666d213adacf8deaac141272","笋盘推荐，大三房，双卫，南北通透，税费低，诚心出售，看房随时","https://shanghai.anjuke.com/prop/view/S3554915851131910",3,2,2,"112.01㎡","南北","低层(共6层)","2006年建造","景舒苑八村","闵行","浦江","浦鸥路186弄","南北通透;优势户型;房东急售",355,"31694元/㎡","南北通透","优势户型","房东急售","","精装修","2006年竣工/普通住宅
            ","满五年","绿化率高","","","","动迁配套房","普通住宅","70年产权","满五年","首付71万，月供12753元","40050元/㎡","648户","0.4 元/平米/月","55.00%","小区户型    小区为一梯两户，一房56平，两房75和92平三房118平都是南北通户型","小区设施   小区有花园，凉亭，休闲设施和儿童娱乐场所，有固定居民运动场所，休闲座椅小区内部还设有大型晾衣架","生活配套   小区出门大约1.3公里浦江城市成活广场，小区南门300米八仙菜场","小区不足   小区相对位置较偏，地下车库现在未能正常使用\r\n","","","2家门店、11位经纪人正代理本房","全部经纪人","实地核验"
"15","14","666d213edacf8deaac141273","新上03年新式公房，漕河泾附近，南北通，  代|理，诚售","https://shanghai.anjuke.com/prop/view/S3267772876891145",2,2,1,"71㎡","南北","中层(共6层)","2003年建造","上虹新村七八九街坊","闵行","虹桥","莲花路2150弄","南北;满五年;近地铁;人气热搜",410,"57747元/㎡","南北","满五年","近地铁","人气热搜","精装修","2003年竣工/普通住宅
            ","满五年","唯一住房","近地铁","","","商品房住宅","普通住宅","70年产权","满五年","首付82万，月供14729元","56506元/㎡","636户","0.6 元/平米/月","35.00%","轨道交通   小区出门右拐500米就到达九号线漕河泾开发区站5号口，门口就有公交站，交通便利","其他描述   小区一共俩个门，环镇南路为北门，可出入莲花路为西门，也可出入","生活配套   小区到莲花广场200m，距离虹桥医院600m三公里内有爱琴海购物公园和万象城","房屋品质   小区开发商是虹桥置业开发有限公司，物业是上海锦润物业小区环境很不错，前后楼间距大，绿化高道路干净","小区不足   小区车位少无地下车库 是动迁房 人员复杂 绿化不高 一般靠马路会吵","","2家门店、2位经纪人正代理本房","全部经纪人","实地核验"
"16","15","666d213edacf8deaac141274","陆家嘴滨江 江景公寓带燃气精装修全配带产权车位 高区拎包入住","https://shanghai.anjuke.com/prop/view/S3553844484136973",2,2,2,"160㎡","南北","中层(共25层)","2010年建造","凯旋汇","浦东","八佰伴","张杨路98号","南北;满五年;近地铁;车位充足",350,"21875元/㎡","南北","满五年","近地铁","车位充足","精装修","2010年竣工/公寓
            ","满五年","有电梯","近地铁","车位充足","","商住两用","公寓","50年产权","满五年","首付175万，月供17305元","91494元/㎡","234户","暂无","35.00%","轨道交通   小区出门步行800米有地铁9号线和2号线","小区户型   小区67㎡一房，和107-127㎡两房，高层总高26楼，单栋，前后楼间距大","其他描述   小区物业是启胜物业，物业费28元，包含3张会所会员卡，有大堂礼宾和管家，服务周到","小区设施   小区内有6000平方会所，设施完善，有儿童娱乐设施，健身器材，图书馆等","生活配套   小区出门步行0.5km到达老佛爷购物商场、盒马鲜生，2公里到达仁济医院东院","小区不足   小区车位紧张，有时无法满足多台车的需求","2家门店、7位经纪人正代理本房","全部经纪人","实地核验"
"17","16","666d2140dacf8deaac141275","装修好！商圈成熟！出行方便！环境好！临地铁！产权清晰！","https://shanghai.anjuke.com/prop/view/S3576462541235202",2,2,1,"84.9㎡","南北","中层(共11层)","2006年建造","永泰花苑","浦东","三林","永泰路630弄","南北通透;配套成熟;优势户型",380,"44759元/㎡","南北通透","配套成熟","优势户型","","精装修","2006年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","绿化率高","商品房住宅","普通住宅","70年产权","满五年","首付76万，月供13651元","61055元/㎡","3377户","1.1 元/平米/月","46.00%","轨道交通   小区门口就是公交车站，小区向北900米事11号线三林东站，可以转地铁6号，8号线","其他描述   小区到地铁11号线三林站200米门口有755路780路572路","小区设施   小区有花园，凉亭，花园900平左右，花园里设有运动器械，可供老人小孩玩耍","生活配套   出门三百米就是金谊广场，800米东方医院","房屋品质   由中房置业有限公司建造，05年统一交房，近马路一排装有双层玻璃，能有效的隔绝噪音","小区不足   动迁小区，租客较多，物业一般","11家门店、33位经纪人正代理本房","全部经纪人","实地核验"
"18","17","666d2143dacf8deaac141276","潼港八村，双南户型，低区二楼，繁华地段，居家装修，满五年少税","https://shanghai.anjuke.com/prop/view/S3583413177244685",2,2,1,"66㎡","南","低层(共6层)","1995年建造","潼港东八村","浦东","外高桥","张杨北路5911弄31-120号,花山路481弄1-29号","南;热门小区;近地铁;优势户型",245,"37122元/㎡","南","热门小区","近地铁","优势户型","精装修","1995年竣工/普通住宅
            ","满五年","近地铁","户型方正","采光较好","直对通风","商品房住宅","普通住宅","暂无","满五年","首付49万，月供8801元","39045元/㎡","1656户","0.7 元/平米/月","20.00%","轨道交通   出门100米张扬北路上有81路，453路等公交，其中453直通五角场途径杨浦","小区户型   小区全部为六层，分一梯两户，一梯三户和一梯四户\r\n小区户型为一房，两房，三房面积38平到94平都有","小区设施   小区配套设施齐全，配有健身器材停车位较充足，有电瓶车停车棚，老年活动室","房屋品质   小区为高桥动迁房小区，竣工日期是1994年自住为主，户型多样且得房率高，小区楼顶做过平改坡","小区不足   小区绿化率太少可以加强一下","","2家门店、7位经纪人正代理本房","全部经纪人","实地核验"
"19","18","666d2144dacf8deaac141277","海洲桃花园 近地铁 带车位 带电梯 满五   得房好","https://shanghai.anjuke.com/prop/view/S3455630634769414",2,2,1,"81㎡","南北","低层(共11层)","2004年建造","海洲桃花园","浦东","航头","航头路988弄","南北;满五年;近地铁;人气热搜",240,"29630元/㎡","南北","满五年","近地铁","人气热搜","精装修","2004年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","","商品房住宅","普通住宅","70年产权","满五年","首付48万，月供8622元","37967元/㎡","2392户","1.2 元/平米/月","40.00%","轨道交通   门口就有1067路公交，航头五路，航三路等，小区西边150米就是18号线地铁口（2020年底开通）","小区户型   小区主要是77平，81平，88平，110平，123平等主力户型，以两房为主，适合刚需需求","小区设施   小区里有 游泳池 小朋友玩耍的沙滩 以及老年锻炼身体的区域","生活配套   小区300米是苏杭生活广场内有生鲜超市，肯德基必胜客和家居用品\r\n隔壁是农工商大卖场，咸塘小镇步行街等","房屋品质   同一个开发区小区2011年左右交房二期是商品房","小区不足   一期动迁小区年代较久，且里面租客居多，车位配比少，造成交通不便","4家门店、15位经纪人正代理本房","全部经纪人","实地核验"
"20","19","666d2144dacf8deaac141278","精装修，  楼层，中心位置，遥望古北壹号，性价比超高","https://shanghai.anjuke.com/prop/view/S3048880096336906",1,1,1,"57.5㎡","南北","中层(共6层)","2003年建造","上虹新村七八九街坊","闵行","虹桥","莲花路2150弄","南北;满五年;近地铁;采光较好",318,"55305元/㎡","南北","满五年","近地铁","采光较好","精装修","2003年竣工/普通住宅
            ","满五年","唯一住房","近地铁","采光较好","直对通风","商品房住宅","普通住宅","70年产权","满五年","首付63万，月供11424元","56506元/㎡","636户","0.6 元/平米/月","35.00%","轨道交通   小区出门右拐500米就到达九号线漕河泾开发区站5号口，门口就有公交站，交通便利","其他描述   小区一共俩个门，环镇南路为北门，可出入莲花路为西门，也可出入","生活配套   小区到莲花广场200m，距离虹桥医院600m三公里内有爱琴海购物公园和万象城","房屋品质   小区开发商是虹桥置业开发有限公司，物业是上海锦润物业小区环境很不错，前后楼间距大，绿化高道路干净","小区不足   小区车位少无地下车库 是动迁房 人员复杂 绿化不高 一般靠马路会吵","","5家门店、6位经纪人正代理本房","全部经纪人","实地核验"
"21","20","666d2144dacf8deaac141279","房东诚意出售 精装家具家电全送 电梯高层采光好 交通便利","https://shanghai.anjuke.com/prop/view/S3146113972493318",3,1,1,"93.62㎡","南北","高层(共14层)","2010年建造","高行绿洲六期","浦东","外高桥","兰嵩路360弄","南北;满五年;近地铁;多人关注",424,"45290元/㎡","南北","满五年","近地铁","多人关注","精装修","2010年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","","商品房住宅","普通住宅","70年产权","满五年","首付84万，月供15232元","47367元/㎡","1988户","1.1 元/平米/月","35.00%","轨道交通   交通便利，出小区门50米就有公交，离地铁站也就900米，出行方便","其他描述   建筑类型板楼，物业属上海实业有限公司，物业费为1.12元，属11年竣工的动迁rn房，绿化率35%","生活配套   小区往南走300米有迪卡侬，共三层，一楼和二楼有跳舞，健身等娱乐设施三楼有超市，适合居家生活","房屋品质   由上海实业物业有限公司负责，10年竣工的次新房，每月会有楼层翻新，近马路会有隔音玻璃","小区不足   小区内租客比较多，车位紧张，没有人车分流","","5家门店、14位经纪人正代理本房","全部经纪人","实地核验"
"22","21","666d2145dacf8deaac14127a","三林均价6.8万豪装交付，自带会所，高品质小区，","https://shanghai.anjuke.com/prop/view/S3584367340346380",3,2,1,"89㎡","南","","","招商臻境","浦东","三林","上南路5700弄","客餐厅相连;南北通透;厨卫全明;购物中心",450,"50562元/㎡","客餐厅相连","南北通透","厨卫全明","购物中心","精装修","暂无建造年代/普通住宅
            ","客餐厅相连","南北通透","厨卫全明","私密性好","动静分离","暂无","普通住宅","70年产权","","首付90万，月供16166元","68091元/㎡","暂无","暂无","暂无","","","","","","","查看全部经纪人","全部经纪人","认证新房"
"23","22","666d2146dacf8deaac14127c","商品房 南向采光好 装修好 高楼层视野无遮挡 交通便捷","https://shanghai.anjuke.com/prop/view/S3289656494185484",2,1,1,"64.58㎡","南","高层(共6层)","1993年建造","吴中路1001弄小区","闵行","虹桥","吴中路1001弄","南;满五年;近地铁;车位充足",310,"48003元/㎡","南","满五年","近地铁","车位充足","精装修","1993年竣工/普通住宅
            ","满五年","唯一住房","近地铁","车位充足","","商品房住宅","普通住宅","70年产权","满五年","首付62万，月供11136元","48502元/㎡","114户","1.5 元/平米/月","35.00%","轨道交通   有公交931、804、548、867、776、149等仅20米和9号线漕河泾站仅300米。","小区户型   小区户型均为一梯三户，一梯四户，双南，南北朝向两房。还有面积小一点的一房是小区的主力小户型。","生活配套   小区西边100米就是莲花广场，900米就是万象城，爱情海购物广场，小区东边300米有苏宁易购","小区不足   小区绿化比较少，车位紧张","","","","全部经纪人","实地核验"
"24","23","666d2146dacf8deaac14127d","必看检漏房 小区车位充足 楼层好采光足 看房联系！","https://shanghai.anjuke.com/prop/view/S3292717734223887",2,1,1,"74㎡","南","中层(共14层)","2011年建造","高行绿洲六期","浦东","外高桥","兰嵩路360弄","南;热门小区;近地铁;优势户型",299,"40406元/㎡","南","热门小区","近地铁","优势户型","精装修","2011年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","","动迁配套房","普通住宅","暂无","满五年","首付59万，月供10741元","47367元/㎡","1988户","1.1 元/平米/月","35.00%","轨道交通   交通便利，出小区门50米就有公交，离地铁站也就900米，出行方便","其他描述   建筑类型板楼，物业属上海实业有限公司，物业费为1.12元，属11年竣工的动迁rn房，绿化率35%","生活配套   小区往南走300米有迪卡侬，共三层，一楼和二楼有跳舞，健身等娱乐设施三楼有超市，适合居家生活","房屋品质   由上海实业物业有限公司负责，10年竣工的次新房，每月会有楼层翻新，近马路会有隔音玻璃","小区不足   小区内租客比较多，车位紧张，没有人车分流","","","全部经纪人","实地核验"
"25","24","666d2147dacf8deaac14127e","来了老弟儿  中间好楼层 三南户型 精装修 2室2厅","https://shanghai.anjuke.com/prop/view/S3164052021256200",2,2,1,"86.14㎡","南北","中层(共21层)","2015年建造","长泰公馆","浦东","航头","航定路568弄","南北;满五年;近地铁;绿化率高",299,"34711元/㎡","南北","满五年","近地铁","绿化率高","精装修","2015年竣工/普通住宅
            ","满五年","有电梯","近地铁","绿化率高","","商品房住宅","普通住宅","70年产权","满五年","首付59万，月供10741元","35935元/㎡","1208户","2.0 元/平米/月","55.00%","轨道交通   距航头东16号线地铁站4公里小区门口有公交站台","小区户型   社区两梯四户居多，主力户型为86平米两房-108平米的三房，大部分是南北对流通风户型，社区内没有一房","其他描述   开发商自持物业，长宜物业，物业费：高层2.9元，别墅3.2元","小区设施   小区进门是自带900平的绿化广场，可供居民休闲散步，还有健身房和游泳馆","生活配套   小区门口有本地阿姨种植的无害蔬菜东面800米到航头老街，有大型菜市场，能满足日常生活购物所需","小区不足   小区自住率高业主车辆多停车位紧张小区车位不足小区车位比1:0.75","5家门店、7位经纪人正代理本房","全部经纪人","实地核验"
"26","25","666d2147dacf8deaac14127f","虹桥政府附近，吴中路闹中取静位置，吴中路1001弄，满五唯Y","https://shanghai.anjuke.com/prop/view/S3198631143170058",2,1,1,"70.27㎡","南北","高层(共6层)","1998年建造","吴中路1001弄小区","闵行","虹桥","吴中路1001弄","南北;满五年;近地铁;车位充足",328,"46678元/㎡","南北","满五年","近地铁","车位充足","精装修","1998年竣工/普通住宅
            ","满五年","唯一住房","近地铁","车位充足","采光较好","商品房住宅","普通住宅","暂无","满五年","首付65万，月供11783元","48502元/㎡","114户","1.5 元/平米/月","35.00%","轨道交通   有公交931、804、548、867、776、149等仅20米和9号线漕河泾站仅300米。","小区户型   小区户型均为一梯三户，一梯四户，双南，南北朝向两房。还有面积小一点的一房是小区的主力小户型。","生活配套   小区西边100米就是莲花广场，900米就是万象城，爱情海购物广场，小区东边300米有苏宁易购","小区不足   小区绿化比较少，车位紧张","","","","全部经纪人","实地核验"
